id,type,prompt,question,image,optionA,optionB,optionC,optionD,optionE,optionF,correctAnswer,passage,blanks
75,multiple-choice-shared,第74-77题,"\n这几年公司发展得很不错，每年春节前都会发给工人两个月的奖金，但是今年公司却没挣到多少钱。经理很担心工人们会伤心、失望。\n这天，他突然想起小时候去买糖:别的服务员都是先抓一大把，拿去称，再一颗一颗减少;只有一个服务员，每次都抓不够重量，然后一颗一颗往上加。虽然拿到的糖是一样的，但人们都喜欢后者。经理想到了办法。\n过了两天，传来一个消息——今年公司发展不好，有些人可能得离开公司。工人们听了之后都开始担心，以为要离开的是自己。\n后来经理宣布了一个消息:大家都是一家人，虽然公司有困难，但不能丢掉任何人，只是没有奖金了。这个消息使所有的人都放下了心:奖金不重要，有工作就好。\n春节快到了，工人们都做了过个穷年的打算。这时经理通知开会，工人们又担心:“会有什么变化吗?”谁知参加会议的人回来兴奋地喊道:“有!有!还是有奖金的!一个月的!”工人们听了，发出一片热烈的欢呼声。",h50901-q74.png,,,,,,,,,
76,multiple-choice-shared,,"第74题:\n今年公司怎么样?",h50901-q74.png,发展得不错,挣的钱不多,要给工人发糖,要发两个月的奖金,,,B,,
77,multiple-choice-shared,,"第75题:\n根据经理小时候买糖的情况,可以知道:",h50901-q74.png,服务员给的重量不够,服务员一块儿一块儿地卖,服务员卖糖的方式都一样,不同的卖糖方法影响人的心情,,,D,,
78,multiple-choice-shared,,"第76题:\n今年公司的工人:",h50901-q74.png,有人要离开,得不到奖金,都参加了会议,得到了一个月的奖金,,,D,,
79,multiple-choice-shared,,"第77题:\n关于经理的办法,正确的是:",h50901-q74.png,让工人都很难过,增加了公司的收入,使工人得到了安慰,使一部分人丢了工作,,,C,,
80,multiple-choice-shared,第78-81题,"\n阿凡提是个很聪明的人，也很热心。很多穷人遇到困难都来找他。有一天，一个穷人来到阿凡提的家说:“亲爱的阿凡提，刚才我在有钱人巴依家的饭馆儿门口站了一会儿，他就一定要让我给他饭钱，因为我闻到了他饭馆儿里饭菜的香味。可是你知道我没有钱，他说要去我家拿东西，怎么办呢?”阿凡提对他说:“别着急，我陪你一起去趟巴依家吧。”\n到了巴依家，阿凡提对巴依说:“这个人是我的朋友，他没有钱，他欠你的饭菜钱我替他还，好吗?”他一边说，一边给巴依看一个小口袋，然后他摇了一下这个口袋，口袋“哗啦哗啦”地响了几下。他问巴依:“这是什么在响啊?”巴依以为阿凡提要给他口袋里的钱，连忙说:“是钱，是钱在响。”“那你听到了吗?”阿凡提又问。“听到了，听到了，快给我吧!”巴依有点儿着急了。“好了，巴依，我的朋友闻了一下你饭菜的香味，你也听了一下我的钱的响声。现在我们的账已经算清楚了。”说完，阿凡提就跟那个穷人一起走了。",h50901-q78.png,,,,,,,,,
81,multiple-choice-shared,,"第78题:\n那个穷人为什么来找阿凡提?",h50901-q78.png,想找他借钱,想请阿凡提吃饭,想请阿凡提去他家,想让阿凡提帮忙想办法,,,D,,
82,multiple-choice-shared,,"第79题:\n巴依为什么向那个穷人要钱?",h50901-q78.png,穷人把巴依的东西拿走了,穷人在巴依的饭馆儿吃饭了,穷人闻了巴依饭馆儿菜的香味,穷人听到了巴依口袋里钱的响声,,,C,,
83,multiple-choice-shared,,"第80题:\n阿凡提陪那个穷人去做什么?",h50901-q78.png,去向巴依要钱,去给巴依饭钱,去巴依的饭馆儿吃饭,帮他解决和巴依的问题,,,D,,
84,multiple-choice-shared,,"第81题:\n根据上文,可以知道:",h50901-q78.png,穷人的问题解决了,阿凡提常替穷人付钱,巴依听到的不是钱的声音,阿凡提帮那个穷人付了钱,,,A,,
85,multiple-choice-shared,第82-86题,"\n生日那天，保罗的哥哥送给他一辆新车。当保罗离开办公室时，一个男孩儿看着那辆新车，很羡慕地问:“先生，这是您的车?”\n保罗点点头:“这是我哥哥送给我的生日礼物。”男孩儿吃惊地说:“你是说这是你哥哥送的礼物?„„我也好希望能„„”\n保罗以为他是希望能有个送他车子的哥哥，但那男孩儿却说，“我希望自己能成为送车给弟弟的哥哥。”\n保罗对他说:“你要不要坐我的车去兜风?”男孩儿高兴地坐上车，车子开了一会儿以后，那男孩儿小心地说:“先生，你能不能把车开到我家门前?”保罗心想那男孩儿一定是想要告诉他认识的人，他坐了一辆新车子回家。\n没想到保罗这次又猜错了。男孩儿下了车，过了一会儿保罗听到他回来的声音，但是动作有些缓慢。原来他扶着脚有毛病的弟弟出来了，他扶着弟弟在台阶上坐下，指着那辆新车。\n只听那男孩儿告诉弟弟:“你看，这就是保罗的哥哥送给他的新车。将来我也会送给你一辆这样的车，到那时你就可以不用每天都呆在家里了。”那个生日，保罗才真正体会到“给予比接受更幸福”的道理。",h50901-q82.png,,,,,,,,,
86,multiple-choice-shared,,"第82题:\n男孩儿的希望是什么?",h50901-q82.png,能送弟弟新车,坐上保罗的新车,有送他新车的哥哥,和弟弟一起坐新车,,,A,,
87,multiple-choice-shared,,"第83题:\n第 4 段中“兜风”的意思最可能是:",h50901-q82.png,回家,看朋友,买新车,开车出去玩,,,D,,
88,multiple-choice-shared,,"第84题:\n男孩儿让保罗把车开到家门前是想:",h50901-q82.png,让保罗送他回家,告诉邻居他买了新车,告诉弟弟以后会送他车,让大家知道他坐了新车,,,C,,
89,multiple-choice-shared,,"第85题:\n下列哪项说法正确?",h50901-q82.png,保罗是男孩儿的哥哥,男孩儿送给弟弟一辆车,保罗送给男孩儿一辆车,男孩儿的弟弟脚有问题,,,D,,
90,multiple-choice-shared,,"第86题:\n这个故事主要告诉我们什么道理?",h50901-q82.png,应该关心别人,“给”更让人幸福,保罗是一个好人,应该送给亲人礼物,,,B,,
91,multiple-choice-shared,第87-90题,"\n楼上新买了一架钢琴，我们家便多了一些不安静，尤其在休息的时候，再好听的钢琴声也只能是噪音。太太的精神一直不太好，现在睡觉时间更少了。两个月后，看着太太黄黄的脸，我决定到楼上说说这件事。\n那天晚上，刚看完足球比赛，我就按响了楼上邻居的门铃。我知道楼上的男主人很喜欢足球，就说是来聊聊足球。男主人很兴奋，和我讲了一大串足球明星。我说:“看足球只是我的第三爱好，听钢琴才是我的第二爱好。”接下来，话题就转到钢琴上来了。原来，是他的妻子和女儿喜欢弹钢琴。我说了几首钢琴名曲，最后特别强调:“只要听到钢琴的声音，电视里再好看的足球比赛，我也不会看。第三爱好必须让位给第二爱好。”男主人问:“那你的第一爱好是什么?”我笑着说:“真不好意思，我的第一爱好是睡觉，所以当我享受第一爱好时，第二爱好就„„”\n“不必说了，不必说了。”男主人连忙说，“以后，我让她们弹琴时一定关窗户，休息时间不要弹琴。”",h50901-q87.png,,,,,,,,,
92,multiple-choice-shared,,"第87题:\n为什么太太睡觉的时间越来越少了?",h50901-q87.png,楼上不安静,她喜欢听钢琴曲,她的精神不太好,她弹琴的时间很长,,,A,,
93,multiple-choice-shared,,"第88题:\n我上楼去的主要目的是什么?",h50901-q87.png,批评楼上的主人,和主人谈我的爱好,和主人谈足球比赛,请主人休息时别弹琴,,,D,,
94,multiple-choice-shared,,"第89题:\n第 2 段中画线句子的意思是:",h50901-q87.png,当我下班的时候,当我要休息的时候,当我想听钢琴曲的时候,当我想看足球比赛的时候,,,B,,
95,multiple-choice-shared,,"第90题:\n根据上文,可以知道楼上的男主人:",h50901-q87.png,很友好,很糊涂,很激动,很失望,,,A,,
